Date,eol,Nuclear,car,cc,hid,solFot,solTer,termRenov
2017-07-18,191886.91666666666,141502.91666666666,152618.91666666666,127834.08333333333,29047.583333333332,24950.75,16121.75,10287.916666666666
2017-07-19,138094.5833333333,141669.0833333333,151399.66666666666,144400.66666666666,32878.33333333333,27148.5,25454.25,10780.583333333332
2017-07-20,96868.58333333333,141722.0,147370.66666666666,151504.3333333333,32449.166666666664,27949.583333333332,29119.333333333332,11266.833333333332
2017-07-21,80046.91666666666,141927.5,133316.0833333333,145897.3333333333,35106.916666666664,28151.583333333332,29452.583333333332,11459.0
2017-07-22,64873.75,141716.91666666666,105806.25,96425.41666666666,37319.416666666664,28652.416666666664,30539.416666666664,11224.166666666666
2017-07-23,72803.0,138901.8333333333,96885.33333333333,74952.91666666666,30628.0,25053.666666666664,30502.666666666664,10954.916666666666
2017-07-24,129970.41666666666,142084.5,110942.25,92674.25,34893.83333333333,28287.416666666664,30711.083333333332,11083.583333333332
2017-07-25,141993.41666666666,142576.75,101448.08333333333,95741.08333333333,38156.25,28597.666666666664,30321.333333333332,11182.916666666666
2017-07-26,70713.25,142466.8333333333,118731.41666666666,142302.5833333333,47303.0,28148.583333333332,28051.75,11369.0
2017-07-27,55854.83333333333,141889.41666666666,129393.75,175983.5833333333,50625.25,28060.833333333332,27706.083333333332,11315.333333333332
2017-07-28,60645.916666666664,141467.5833333333,133586.5833333333,172883.41666666666,42216.416666666664,28130.583333333332,28346.083333333332,11418.416666666666
2017-07-29,102467.5,141649.3333333333,127109.75,93302.5,36550.33333333333,27501.333333333332,28940.5,11295.5
2017-07-30,89906.75,145827.16666666666,117237.08333333333,73752.66666666666,31815.5,26900.916666666664,28010.25,10893.416666666666
2017-07-31,97034.66666666666,151779.0,133035.16666666666,134765.16666666666,35843.08333333333,26446.333333333332,26840.5,10875.0
2017-08-01,59622.916666666664,157091.25,155156.5833333333,159905.66666666666,44451.58333333333,20458.666666666664,15281.75,9391.083333333332
2017-08-02,77036.33333333333,161697.41666666666,159315.0833333333,160449.0,33484.08333333333,24572.75,26421.083333333332,10446.416666666666
2017-08-03,55750.916666666664,162335.5833333333,159273.0,157203.5,42559.25,28015.833333333332,30903.25,10926.666666666666
2017-08-04,63327.58333333333,164659.75,157505.41666666666,160403.91666666666,46414.666666666664,27860.666666666664,31030.166666666664,10711.333333333332
2017-08-05,133462.75,164402.5833333333,100225.66666666666,97619.33333333333,27375.25,26771.5,31106.75,10470.0
2017-08-06,178960.75,164776.0,62261.75,60540.666666666664,13735.333333333332,27148.5,29815.916666666664,9886.916666666666
2017-08-07,126313.58333333333,164373.5,94550.0,138110.0833333333,46562.166666666664,23972.25,24290.5,10108.25
2017-08-08,150785.3333333333,165222.16666666666,92089.83333333333,122486.33333333333,23577.583333333332,27696.833333333332,26420.25,10109.916666666666
2017-08-09,157014.41666666666,165353.66666666666,84797.0,90087.66666666666,18775.75,24982.416666666664,30215.583333333332,10035.833333333332
2017-08-10,186081.91666666666,165291.91666666666,65303.416666666664,64274.5,12964.916666666666,26545.166666666664,29070.25,9980.416666666666
2017-08-11,147276.66666666666,165637.91666666666,74478.75,73136.41666666666,27774.5,27898.666666666664,29128.0,9699.333333333332
2017-08-12,107462.66666666666,165422.5833333333,52272.916666666664,71511.83333333333,27872.583333333332,28283.583333333332,30532.083333333332,10202.166666666666
2017-08-13,111677.83333333333,164173.66666666666,46085.166666666664,57349.166666666664,20015.25,27539.0,29571.5,10529.25
2017-08-14,133346.91666666666,165078.91666666666,61118.75,76120.0,22872.833333333332,25801.333333333332,24388.833333333332,10862.416666666666
2017-08-15,81771.75,164875.0,66313.83333333333,81496.16666666666,42899.08333333333,23539.916666666664,19471.166666666664,10513.083333333332
2017-08-16,47654.666666666664,164444.8333333333,78497.25,127711.91666666666,45699.33333333333,26493.333333333332,23584.333333333332,10532.833333333332
2017-08-17,57335.166666666664,164485.5833333333,91658.33333333333,129404.58333333333,41872.33333333333,26983.666666666664,24843.0,10434.75
2017-08-18,95920.41666666666,164279.66666666666,89776.08333333333,120860.25,34109.5,26540.916666666664,25041.916666666664,9978.833333333332
2017-08-19,144502.75,164915.66666666666,55070.5,68325.58333333333,20863.916666666664,25941.75,23588.916666666664,9849.833333333332
2017-08-20,158061.0833333333,164778.75,44342.666666666664,53171.83333333333,10071.083333333332,26868.083333333332,24068.0,9743.25
2017-08-21,103069.66666666666,164308.75,95148.08333333333,125378.41666666666,35219.916666666664,27583.833333333332,24680.833333333332,9607.0
2017-08-22,93870.08333333333,163851.3333333333,121437.33333333333,147217.0,35168.25,27125.666666666664,24489.083333333332,9995.666666666666
2017-08-23,82811.0,163717.3333333333,124612.0,156211.5,36874.25,24818.333333333332,23023.25,10431.75
2017-08-24,106552.91666666666,164114.41666666666,116244.91666666666,133085.0,36131.0,26252.0,21225.583333333332,11077.083333333332
